RunID,RunDateTime,InstantiationType,Strategy,ObjectCount,Repetition,FrameCount,AvgFrameTimeMs,MaxFrameTimeMs,MinFrameTimeMs,StdDevFrameTimeMs,GCAllocBytes
1,2026-05-31 22:24:36,WALL,Custom Pooling Instantiation Strategy,5000,4,25,18.4445,233.6463,6.900404,43.95292,1706783
1,2026-05-31 22:24:36,WALL,Custom Pooling Instantiation Strategy,5000,5,25,18.39997,232.1202,6.518899,43.65563,1760631
1,2026-05-31 22:24:36,WALL,Custom Pooling Instantiation Strategy,5000,6,25,18.29701,230.9751,6.008702,43.46084,1727585
1,2026-05-31 22:24:36,WALL,Custom Pooling Instantiation Strategy,5000,7,25,19.02225,241.6188,6.639201,45.48042,1731649
1,2026-05-31 22:24:36,WALL,Custom Pooling Instantiation Strategy,5000,8,25,18.20115,229.6006,6.652105,43.1839,1706631
1,2026-05-31 22:24:36,WALL,Custom Pooling Instantiation Strategy,5000,9,25,18.22656,230.821,6.324801,43.43251,1706419
1,2026-05-31 22:24:36,WALL,Custom Pooling Instantiation Strategy,5000,10,25,18.68814,239.1783,6.4589,45.05115,1707071
1,2026-05-31 22:24:36,WALL,Lean Pool Instantiation Strategy,5000,1,25,21.91786,243.7583,8.564506,45.35906,3270589
1,2026-05-31 22:24:36,WALL,Lean Pool Instantiation Strategy,5000,2,25,21.39172,254.2691,8.749596,47.56944,1866629
1,2026-05-31 22:24:36,WALL,Lean Pool Instantiation Strategy,5000,3,25,21.07844,250.0058,8.4697,46.76372,1852773
1,2026-05-31 22:24:36,WALL,Lean Pool Instantiation Strategy,5000,4,25,21.06518,250.8512,8.7161,46.94032,1852797
1,2026-05-31 22:24:36,WALL,Lean Pool Instantiation Strategy,5000,5,25,21.5203,257.0348,8.736897,48.10841,1852605
1,2026-05-31 22:24:36,WALL,Lean Pool Instantiation Strategy,5000,6,25,20.94579,247.3313,8.007199,46.25066,1914250
1,2026-05-31 22:24:36,WALL,Lean Pool Instantiation Strategy,5000,7,25,20.9863,246.8021,8.387202,46.13069,1885842
1,2026-05-31 22:24:36,WALL,Lean Pool Instantiation Strategy,5000,8,25,21.08208,247.6531,8.6687,46.28705,1853677
1,2026-05-31 22:24:36,WALL,Lean Pool Instantiation Strategy,5000,9,25,21.44197,257.6934,8.876601,48.2574,1853061
1,2026-05-31 22:24:36,WALL,Lean Pool Instantiation Strategy,5000,10,25,21.0789,247.8945,8.800106,46.33165,1825869
